market_id,time,t_ms,best_bid,best_ask,midpoint,spread,bid_depth,ask_depth,bid_levels,ask_levels
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-14T23:57:42Z,1781481462629,0.4800,0.4900,0.4850,0.0100,53576.08,50796.59,48,51
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:00:00Z,1781481600005,0.4600,0.4700,0.4650,0.0100,154829.44,154133.47,46,52
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:00:30Z,1781481630798,0.4400,0.4500,0.4450,0.0100,114353.54,112603.37,44,55
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:01:38Z,1781481698404,0.4900,0.5000,0.4950,0.0100,47556.43,42775.59,49,50
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:01:55Z,1781481715361,0.4200,0.4300,0.4250,0.0100,44725.75,43506.56,42,57
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:02:56Z,1781481776800,0.1600,0.5100,0.3350,0.3500,27106.10,37464.92,16,49
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:03:57Z,1781481837662,,0.0100,,,0.00,49611.98,0,99
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:04:43Z,1781481883717,,0.0100,,,0.00,64054.55,0,99
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:04:58Z,1781481898239,,0.0100,,,0.00,58609.09,0,85
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:05:58Z,1781481958530,,0.0100,,,0.00,1186775.61,0,72
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:06:51Z,1781482011142,,0.0100,,,0.00,1184727.24,0,72
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:06:58Z,1781482018589,,0.0100,,,0.00,1184727.24,0,72
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:07:39Z,1781482059148,,,,,0.00,0.00,0,0
1154a001-ee14-5faf-8548-a51737a6ee54,2026-06-15T00:09:27Z,1781482167160,,,,,0.00,0.00,0,0
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-14T23:59:56Z,1781481596120,0.4200,0.4400,0.4300,0.0200,252250.83,256484.62,41,55
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:00:00Z,1781481600006,0.4200,0.4300,0.4250,0.0100,250657.36,255334.62,41,56
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:01:45Z,1781481705616,0.4400,0.4500,0.4450,0.0100,21563.49,24222.11,44,55
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:02:05Z,1781481725337,0.4600,0.4700,0.4650,0.0100,22538.95,25152.17,46,53
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:02:46Z,1781481766017,0.3000,0.3700,0.3350,0.0700,23343.54,24322.35,30,63
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:03:30Z,1781481810318,0.3000,0.3100,0.3050,0.0100,22362.35,24960.79,30,69
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:03:46Z,1781481826432,0.2000,0.2100,0.2050,0.0100,18455.90,26476.54,20,79
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:04:47Z,1781481887235,0.1800,0.1900,0.1850,0.0100,18861.85,25748.71,18,81
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:05:47Z,1781481947457,0.1800,0.1900,0.1850,0.0100,18588.71,24378.57,18,81
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:06:47Z,1781482007707,0.2100,0.2200,0.2150,0.0100,22498.19,23563.58,21,78
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:06:47Z,1781482007965,0.2100,0.2200,0.2150,0.0100,22620.19,23558.58,21,78
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:07:48Z,1781482068056,0.4800,0.5100,0.4950,0.0300,17821.93,21108.25,48,49
d5755774-28a0-5ac4-8374-babc3b01d1ec,2026-06-15T00:08:25Z,1781482105986,0.4800,0.4900,0.4850,0.0100,18948.85,22431.56,48,51
