market_id,time,t_ms,best_bid,best_ask,midpoint,spread,bid_depth,ask_depth,bid_levels,ask_levels
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:08:29Z,1783206509614,0.2500,0.3000,0.2750,0.0500,9599.01,10374.21,16,15
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:10:00Z,1783206600270,0.2500,0.3000,0.2750,0.0500,5937.11,6044.01,14,13
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:15:07Z,1783206907502,0.0700,0.9900,0.5300,0.9200,349.10,55.00,3,1
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:20:18Z,1783207218186,0.0300,0.9800,0.5050,0.9500,336.11,112.41,3,2
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:25:19Z,1783207519047,0.0300,0.9900,0.5100,0.9600,310.99,5.00,2,1
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:30:20Z,1783207820041,0.0100,0.9900,0.5000,0.9800,5.00,5.00,1,1
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:35:02Z,1783208102019,0.1500,0.9900,0.5700,0.8400,110.99,5.00,2,1
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:40:01Z,1783208401180,0.1500,0.9800,0.5650,0.8300,310.99,110.99,2,2
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:45:00Z,1783208700442,0.7300,0.9400,0.8350,0.2100,137.06,96.00,4,2
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:50:01Z,1783209001017,0.1100,0.9900,0.5500,0.8800,315.64,5.00,2,1
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-04T23:55:01Z,1783209301221,0.6000,0.9900,0.7950,0.3900,284.99,5.00,2,1
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-05T00:00:01Z,1783209601825,0.9900,,,,68586.53,0.00,16,0
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-05T00:05:07Z,1783209907174,0.9900,,,,149816.19,0.00,31,0
0378b0a6-0b56-58d0-9ebf-1a47203fd5df,2026-07-05T00:10:07Z,1783210207647,0.9900,,,,155706.05,0.00,32,0
