market_id,time,t_ms,best_bid,best_ask,midpoint,spread,bid_depth,ask_depth,bid_levels,ask_levels
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T20:56:46Z,1784408206783,0.0800,0.0900,0.0850,0.0100,1132462.35,5299351.37,8,56
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:00:00Z,1784408400124,0.0800,0.0900,0.0850,0.0100,1038437.23,1919889.31,8,48
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:00:51Z,1784408451518,0.0800,0.0900,0.0850,0.0100,156657.87,739043.58,7,37
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:01:41Z,1784408501629,0.0800,0.0900,0.0850,0.0100,103306.03,1603636.88,8,38
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:02:42Z,1784408562678,0.0800,0.0900,0.0850,0.0100,52661.96,1554999.40,8,41
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:03:43Z,1784408623528,0.0600,0.1100,0.0850,0.0500,81458.08,1466580.08,6,37
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:04:43Z,1784408683738,0.0600,0.0700,0.0650,0.0100,45029.31,1578068.54,6,43
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:05:43Z,1784408743888,0.0600,0.0800,0.0700,0.0200,24407.18,1561049.04,6,43
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:05:56Z,1784408756290,0.0600,0.0800,0.0700,0.0200,131563.67,1617863.79,6,42
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:06:43Z,1784408803941,0.0600,0.0700,0.0650,0.0100,31104.05,1529428.89,6,41
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:07:44Z,1784408864057,0.0600,0.0700,0.0650,0.0100,117380.33,1627128.86,6,43
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:08:45Z,1784408925013,0.0600,0.0800,0.0700,0.0200,18268.26,1522712.40,6,41
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:08:51Z,1784408931056,0.0600,0.0900,0.0750,0.0300,11504.21,1522534.47,6,39
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:09:45Z,1784408985886,0.0600,0.0800,0.0700,0.0200,115573.96,1597917.00,6,44
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:10:47Z,1784409047253,0.0600,0.0700,0.0650,0.0100,114517.23,1599836.86,6,44
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:11:50Z,1784409110271,0.0600,0.0800,0.0700,0.0200,21231.33,1518711.47,6,38
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:12:52Z,1784409172421,0.0600,0.0700,0.0650,0.0100,65935.37,1559523.89,6,41
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:13:53Z,1784409233901,0.0500,0.0700,0.0600,0.0200,8593.78,1482675.16,5,39
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:14:01Z,1784409241767,0.0600,0.0800,0.0700,0.0200,20930.78,1518039.21,6,38
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:14:55Z,1784409295685,0.0600,0.0800,0.0700,0.0200,60996.98,1552762.62,6,41
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:15:58Z,1784409358159,0.0600,0.0800,0.0700,0.0200,98809.41,1554085.05,6,38
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:16:59Z,1784409419777,0.0700,0.0800,0.0750,0.0100,143820.15,1591493.70,7,40
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:18:01Z,1784409481123,0.0500,0.0700,0.0600,0.0200,3126.84,1520955.83,5,41
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:19:01Z,1784409541582,,0.0200,,,0.00,1408968.89,0,36
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:19:52Z,1784409592885,,0.0010,,,0.00,2115465.08,0,52
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:20:02Z,1784409602644,,0.0010,,,0.00,2187651.27,0,56
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:21:02Z,1784409662837,,0.0010,,,0.00,2244003.40,0,59
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:22:04Z,1784409724171,,0.0010,,,0.00,2242669.40,0,54
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:23:04Z,1784409784952,,0.0010,,,0.00,2281645.83,0,59
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:24:23Z,1784409863171,,0.0010,,,0.00,2283020.83,0,60
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:25:07Z,1784409907790,,0.0010,,,0.00,2283015.83,0,60
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:26:08Z,1784409968619,,0.0010,,,0.00,2280574.44,0,54
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:27:08Z,1784410028738,,0.0010,,,0.00,2322679.78,0,60
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:28:08Z,1784410088777,,0.0010,,,0.00,2327851.57,0,65
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:29:08Z,1784410148970,,0.0010,,,0.00,2278794.44,0,54
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:30:09Z,1784410209051,,0.0010,,,0.00,2279363.36,0,54
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:31:09Z,1784410269141,,0.0010,,,0.00,2342546.36,0,59
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:31:51Z,1784410311501,,0.0010,,,0.00,2342546.36,0,59
0001cbf5-1e18-5ee3-ad21-0b2072303f98,2026-07-18T21:32:09Z,1784410329312,,0.0010,,,0.00,2342546.36,0,59
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T20:59:26Z,1784408366767,0.0100,0.8980,0.4540,0.8880,30.00,59.60,2,4
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:00:00Z,1784408400079,0.0100,0.8980,0.4540,0.8880,30.00,59.60,2,4
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:01:53Z,1784408513968,0.0010,0.8970,0.4490,0.8960,560.00,579.41,1,2
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:03:30Z,1784408610785,0.0020,0.8960,0.4490,0.8940,286.15,301.76,2,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:03:53Z,1784408633989,0.0030,0.8960,0.4495,0.8930,786.15,301.76,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:04:54Z,1784408694096,0.0030,0.8960,0.4495,0.8930,786.15,448.06,3,4
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:05:54Z,1784408754397,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:06:54Z,1784408814407,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:08:51Z,1784408931100,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:08:54Z,1784408934443,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:09:54Z,1784408994962,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:10:55Z,1784409055446,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:12:29Z,1784409149627,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:12:57Z,1784409177017,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:13:57Z,1784409237996,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:14:58Z,1784409298099,0.0040,0.9960,0.5000,0.9920,664.16,428.83,3,3
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:15:58Z,1784409358183,0.0040,0.9960,0.5000,0.9920,703.03,453.85,4,4
005aa65f-58ef-5be4-9ac5-b437147f4e27,2026-07-18T21:16:58Z,1784409418828,0.0040,0.9960,0.5000,0.9920,703.03,453.85,4,4
